Dog_Breed,Sex,Neuter_Status,Age_Years,Weight_KG,Diagnosis_Type,Visit_Outcome
Poodle,Male,Yes,6.3,16.7,Acute,Ongoing
Bulldog,Female,Yes,4.3,20.3,Acute,Deceased
Poodle,Male,Yes,4.3,29.1,Chronic,Recovered
Bulldog,Male,No,1.1,20.6,Acute,Ongoing
Bulldog,Female,Yes,5.3,20.2,Chronic,Ongoing
Beagle,Male,No,10.2,21.1,Chronic,Ongoing
Beagle,Male,Yes,6.9,11.2,Chronic,Ongoing
Poodle,Male,Yes,7.1,27.3,Acute,Recovered
Poodle,Female,Yes,5.5,12.8,Acute,Recovered
Bulldog,Female,Yes,1.9,23.9,Chronic,Ongoing
Beagle,Male,Yes,10.5,15.8,Acute,Ongoing
Beagle,Female,No,2.5,18.2,Chronic,Ongoing
Poodle,Male,Yes,0.4,12.1,Acute,Recovered
Labrador Retriever,Male,Yes,3.6,18.5,Acute,Recovered
Labrador Retriever,Female,Yes,0.2,17.6,Acute,Recovered
Labrador Retriever,Male,No,4.4,19.4,Acute,Recovered
Beagle,Female,No,1.7,15.3,Chronic,Recovered
Labrador Retriever,Male,Yes,5.7,14.9,Acute,Recovered
Labrador Retriever,Female,Yes,8.5,21.5,Chronic,Ongoing
Poodle,Male,No,4.3,14.1,Acute,Recovered
Poodle,Male,Yes,7.1,34.2,Chronic,Recovered
German Shepherd,Female,Yes,3.6,22.9,Chronic,Recovered
Labrador Retriever,Male,No,6.4,16.6,Acute,Ongoing
Bulldog,Female,Yes,4.8,15.4,Chronic,Recovered
Labrador Retriever,Male,No,6.0,16.9,Acute,Recovered
Labrador Retriever,Female,Yes,1.1,13.3,Acute,Recovered
Labrador Retriever,Male,Yes,6.2,12.3,Chronic,Recovered
Labrador Retriever,Female,No,0.8,14.1,Acute,Recovered
Poodle,Male,Yes,6.3,25.0,Chronic,Recovered
Poodle,Male,No,5.2,23.8,Acute,Ongoing
Labrador Retriever,Female,Yes,1.5,31.6,Acute,Ongoing
German Shepherd,Female,Yes,2.3,27.6,Chronic,Recovered
German Shepherd,Male,Yes,8.4,20.1,Acute,Deceased
Labrador Retriever,Male,Yes,2.2,9.8,Chronic,Ongoing
Bulldog,Female,Yes,4.4,22.7,Acute,Recovered
Poodle,Male,Yes,5.7,25.6,Chronic,Ongoing
Beagle,Male,Yes,1.2,20.6,Chronic,Recovered
Bulldog,Female,Yes,2.9,22.3,Acute,Recovered
Poodle,Male,Yes,6.5,21.7,Chronic,Ongoing
Beagle,Male,No,3.2,18.7,Acute,Recovered
German Shepherd,Male,Yes,7.0,17.1,Chronic,Recovered
German Shepherd,Female,No,3.1,21.6,Acute,Ongoing
Poodle,Female,No,6.6,26.3,Chronic,Recovered
